vote_count;id;video;vote_average;title;popularity;poster_path;original_language;original_title;backdrop_path;adult;overview;release_date
3658;285;false;6.9;Pirates of the Caribbean: At World's End;20.793915;/bXb00CkHqx7TPchTGG131sWV59y.jpg;en;Pirates of the Caribbean: At World's End;/8ZgpAftUiYTU76IhUADITa3Ur9n.jpg;false;Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.;2007-05-19
2273;283366;false;6.5;Miss Peregrine's Home for Peculiar Children;20.415854;/AvekzUdI8HZnImdQulmTTmAZXrC.jpg;en;Miss Peregrine's Home for Peculiar Children;/9BVHn78oQcFCRd4M3u3NT7OrhTk.jpg;false;A teenager finds himself transported to an island where he must help protect a group of orphans with special powers from creatures intent on destroying them.;2016-09-28
9083;157336;false;8;Interstellar;20.008594;/nBNZadXqJSdt05SHLqgT0HuC5Gm.jpg;en;Interstellar;/xu9zaAevzQ5nnrsXN6JcahLnG4i.jpg;false;Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.;2014-11-05
8158;76341;false;7.2;Mad Max: Fury Road;19.327681;/kqjL17yufvn9OVLyXYpvtyrFfak.jpg;en;Mad Max: Fury Road;/phszHPFVhPHhMZgo0fWTKBDQsJA.jpg;false;An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.;2015-05-13
3260;87101;false;5.8;Terminator Genisys;18.514954;/5JU9ytZJyR3zmClGmVm9q4Geqbd.jpg;en;Terminator Genisys;/bIlYH4l2AyYvEysmS2AOfjO7Dn8.jpg;false;"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.";2015-06-23
406;340837;false;5.7;A Cure for Wellness;17.20916;/d4fXuJS3zZcAZfz2HYDtnwqtnwn.jpg;en;A Cure for Wellness;/6oXUTHVAjPrNKvVFZhxNlWv7jua.jpg;false;"An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps but soon suspects that the spa's miraculous treatments are not what they seem.";2016-12-10
1647;419430;false;7.1;Get Out;16.908455;/1SwAVYpuLj8KsHxllTF8Dt9dSSX.jpg;en;Get Out;/Ae58bf7Yj6OPzwKerPgXSnxCJdh.jpg;false;Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.;2017-02-24
8753;293660;false;7.3;Deadpool;16.806234;/inVq3FRqcYIRl2la8iZikYYxFNR.jpg;en;Deadpool;/n1y094tVDFATSzkTnFxoGZ1qNsG.jpg;false;Based upon Marvel Comics’ most unconventional anti-hero, DEADPOOL tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.;2016-02-09
467;382591;false;7.5;Tomorrow Everything Starts;16.166657;/muwaDIv5cLv2Z07CZFWOsL7lYuO.jpg;fr;Demain tout commence;/kiIIOJbV8BCyatCmXqOdJEUXW3u.jpg;false;A man without attachments or responsibilities suddenly finds himself with an abandoned baby and leaves for London to try and find the mother. Eight years later after he and his daughter become inseparable Gloria's mother reappears.;2016-12-07
5864;271110;false;7;Captain America: Civil War;16.0766;/kSBXou5Ac7vEqKd97wotJumyJvU.jpg;en;Captain America: Civil War;/m5O3SZvQ6EgD5XXXLPIP1wLppeW.jpg;false;Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.;2016-04-27
5810;209112;false;5.6;Batman v Superman: Dawn of Justice;15.322791;/cGOPbv9wA5gEejkUN892JrveARt.jpg;en;Batman v Superman: Dawn of Justice;/vsjBeMPZtyB7yNsYY56XYxifaQZ.jpg;false;Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.;2016-03-23
4144;284052;false;7;Doctor Strange;15.000271;/4PiiNGXj1KENTmCBHeN6Mskj2Fq.jpg;en;Doctor Strange;/tFI8VLMgSTTU38i8TIsklfqS9Nl.jpg;false;After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under his wing and trains him to defend the world against evil.;2016-10-25
4714;131631;false;6.6;The Hunger Games: Mockingjay - Part 1;14.854654;/gj282Pniaa78ZJfbaixyLXnXEDI.jpg;en;The Hunger Games: Mockingjay - Part 1;/4PwyB0ErucIANzW24Kori71J6gU.jpg;false;Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.;2014-11-18
60;335988;false;0;Transformers: The Last Knight;14.257632;/f8Ng1Sgb3VLiSwAvrfKeQPzvlfr.jpg;en;Transformers: The Last Knight;/xz1H8XdcnAmXRkV02XIbOVn6mGU.jpg;false;In the absence of Optimus Prime, a battle for survival has commenced between the human race and the Transformers. Cade Yeager forms an alliance with Bumblebee, an English lord, and an Oxford professor to learn why the Transformers keep coming back to Earth.;2017-06-21
3458;244786;false;8.3;Whiplash;14.003992;/lIv1QinFqz4dlp5U4lQ6HaiskOZ.jpg;en;Whiplash;/6bbZ6XyvgfjhQwbplnUh1LSj1ky.jpg;false;Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.;2014-10-10
3165;262500;false;6.2;Insurgent;13.934073;/6w1VjTPTjTaA5oNvsAg0y4H6bou.jpg;en;Insurgent;/L5QRL1O3fGs2hH1LbtYyVl8Tce.jpg;false;Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart.;2015-03-18
